0x00000001	ERROR_INVALID_FUNCTION
0x80244007	WU_E_PT_SOAPCLIENT_SOAPFAULT	SOAPCLIENT_SOAPFAULT a SOAP Fault was returned by the server. See the more specific WU_E_PT_SOAP_xxxx mappings when a SOAP fault was returned by the server.
0x80244008	SUS_E_PT_SOAPCLIENT_PARSEFAULT	SOAPCLIENT_PARSEFAULT_ERROR      failed in parsing SOAP fault
0x80244009	WU_E_PT_SOAPCLIENT_READ	SOAPCLIENT_READ_ERROR failed in reading response
0x8024400A	SUS_E_PT_SOAPCLIENT_PARSE	failed in parsing response
0x8024400b	WU_E_PT_SOAP_VERSION	SOAP_E_VERSION_MISMATCH Invalid namespace for the SOAP envelope
0x8024400c	WU_E_PT_SOAP_MUST_UNDERSTAND	SOAP_E_MUST_UNDERSTAND Child of header with mustUnderstand attribute = 1 wasn't understood or obeyed
0x8024400D	SUS_E_PT_SOAP_CLIENT	SOAP_E_CLIENT  The message was malformed or incomplete. No reason to retry unless problem fixed.
0x8024400E	SUS_E_PT_SOAP_SERVER	The message was OK but server couldn't process at the moment. Same message *may* succeed at a later time.
0x8024400f	WU_E_PT_WMI_ERROR	An unspecified error occurred using WMI
0x80244010	SUS_E_PT_EXCEEDED_MAX_SERVER_TRIPS	The maximum allowed number of round trips to the server was exceeded
0x80244011	SUS_E_PT_SUS_SERVER_NOT_SET	WUServer policy value is missing in the registry
0x80244012	WU_E_PT_DOUBLE_INITIALIZATION	object is initialized second time
0x80244013	WU_E_PT_INVALID_COMPUTER_NAME	Cannot determine computer name
0x80244014	WU_E_PT_INVALID_COMPUTER_LSID	Cannot determine computer LSID
0x80244015	SUS_E_PT_REFRESH_CACHE_REQUIRED	Server replied with InvalidCookie or ServerChanged Caller should refresh its internal state then repeat the call to Protocol Talker
0x80244016	SUS_E_PT_HTTP_STATUS_BAD_REQUEST	Http status 400 - invalid syntax
0x80244017	SUS_E_PT_HTTP_STATUS_DENIED	Http status 401 - access denied
0x80244018	SUS_E_PT_HTTP_STATUS_FORBIDDEN	Http status 403 - request forbidden
0x80244019	SUS_E_PT_HTTP_STATUS_NOT_FOUND	Http status 404 - object not found
0x8024401A	SUS_E_PT_HTTP_STATUS_BAD_METHOD	Http status 405 - method is not allowed
0x8024401B	SUS_E_PT_HTTP_STATUS_PROXY_AUTH_REQ	Http status 407 - proxy authentication required
0x8024401c	WU_E_PT_HTTP_STATUS_REQUEST_TIMEOUT	Http status 408 - server timed out waiting for request
0x8024401d	WU_E_PT_HTTP_STATUS_CONFLICT	Http status 409 - user should resubmit with more info
0x8024401e	WU_E_PT_HTTP_STATUS_GONE	Http status 410 - the resource is no longer available
0x8024401f	WU_E_PT_HTTP_STATUS_SERVER_ERROR	Http status 500 - internal server error
0x80244020	WU_E_PT_HTTP_STATUS_NOT_SUPPORTED	Http status 501 - required not supported
0x80244021	SUS_E_PT_HTTP_STATUS_BAD_GATEWAY	Http status 502 - error response received from gateway
0x80244022	SUS_E_PT_HTTP_STATUS_SERVICE_UNAVAIL	Http status 503 - temporarily overloaded
0x80244023	SUS_E_PT_HTTP_STATUS_GATEWAY_TIMEOUT	Http status 504 - timed out waiting for gateway
0x80244024	WU_E_PT_HTTP_STATUS_VERSION_NOT_SUP	Http status 505 - HTTP version not supported
0x80244025	SUS_E_PT_FILE_LOCATIONS_CHANGED	Server replied with FileLocationsChange Caller should refresh its internal state then repeat the call to Protocol Talker
0x80244026	SUS_E_PT_REGISTRATION_NOT_SUPPORTED	Client doesn't support registration with non-SUS server
0x80244027	WU_E_PT_NO_AUTH_PLUGINS_REQUESTED	Server returned an empty AuthInfo list
0x80244028	SUS_E_PT_NO_AUTH_COOKIES_CREATED	The client was unable to create any valid auth cookies
0x80244029	WU_E_PT_INVALID_CONFIG_PROP	One of the Config ConfigurationProperty values was wrong
0x8024402a	WU_E_PT_CONFIG_PROP_MISSING	One of the Config ConfigurationProperty values was wrong
0x8024402b	WU_E_PT_HTTP_STATUS_NOT_MAPPED	Http status other than 200, but not mapped above
0x8024402c	WU_E_PT_WINHTTP_NAME_NOT_RESOLVED	Winhttp SendRequest/ReceiveResponse failed with 0x2ee7 error. Either the proxy server or target server name can not be resolved. Corresponding to ERROR_WINHTTP_NAME_NOT_RESOLVED. Stop/Restart service or reboot the machine if you see this error frequently.
0x80244fff	WU_E_PT_UNEXPECTED	generic unexpected protocol talker failure
0x80245001	WU_E_REDIRECTOR_LOAD_XML	The XML extracted from the wuredir.cab failed to load into the DOM
0x80245002	WU_E_REDIRECTOR_S_FALSE	An expected XML element node, map, attribute, value, etc. could not be found.
0x80245003	WU_E_REDIRECTOR_ID_SMALLER	The redirectorId in the downloaded wuredir.cab is smaller than the cached cab.
0x8024502d	WU_E_PT_SAME_REDIR_ID	During recovery Protocol Talker failed to download a wuredir.cab with a newer redirectorId from the server
0x8024502e	WU_E_PT_NO_MANAGED_RECOVER	A redirector recovery action was specified, but the server is managed.
0x80245fff	WU_E_REDIRECTOR_UNEXPECTED	generic unexpected redirector failure
0x80246001	SUS_E_DM_URLNOTAVAILABLE	The requested file does not have an URL
0x80246002	SUS_E_DM_INCORRECTFILEHASH	The file digest did not match the expected value
0x80246003	WU_E_DM_UNKNOWNALGORITHM	The file metadata requested an unknown hash algorithm
0x80246004	WU_E_DM_NEEDDOWNLOADREQUEST	A download request from a download handler is required.
0x80246005	SUS_E_DM_NONETWORK	Network connection was not available
0x80246006	SUS_E_DM_WRONGBITSVERSION	The version of BITS installed on the machine is not compatible.
0x80246007	SUS_E_DM_NOTDOWNLOADED	The update has not been downloaded.
0x80246008	SUS_E_DM_FAILTOCONNECTTOBITS	Failed to create the IBackgroundCopyManager interface to BITS. The BITS service may have been disabled
0x80246009	WU_E_DM_BITSTRANSFERERROR	A BITS transfer error occurred, but the exact error could not be retrieved.
0x80246fff	WU_E_DM_UNEXPECTED	generic unexpected download manager failure
0x80248000	WU_E_DS_SHUTDOWN	The call failed because the SUS agent is shutting down
0x80248001	WU_E_DS_INUSE	The call failed because the data store is in use and the operation can only be executed on an idle data store.
0x80248002	WU_E_DS_INVALID	The data store is in an invalid state. This can occur if we attempt to   validate the database schema and find a mismatch between the current state and the state we expect.
0x80248003	WU_E_DS_TABLEMISSING	The data store has a missing table
0x80248004	WU_E_DS_TABLEINCORRECT	The data store has a table whose columns are not what SUS expects
0x80248005	WU_E_DS_INVALIDTABLENAME	The caller tried to open a table that is not in the datastore
0x80248006	WU_E_DS_BADVERSION	The data store's version does not match what the client expects
0x80248007	SUS_E_DS_NODATA	The caller asked for data that is not in the data store
0x80248008	WU_E_DS_MISSINGDATA	The data store is in an invalid state because data that should be present is missing. This error can occur if we encounter a column in a table that is NULL when it is not allowed to be NULL.
0x80248009	WU_E_DS_MISSINGREF	The data store is in an invalid state because data that should be present is missing. This will occur if we try to fetch a linked row from another table and the linked row does not exist.  This can happen with EULAs, files, and/or localized properties referenced by an update.
0x8024800a	WU_E_DS_UNKNOWNHANDLER	The caller attempted to add an update that used an unknown update handler
0x8024800b	WU_E_DS_CANTDELETE	The caller attempted to delete an update that is referenced by one or more services
0x8024800C	SUS_E_DS_LOCKTIMEOUTEXPIRED	The caller attempted to delete an update that is referenced by one or more services
0x8024800d	WU_E_DS_NOCATEGORIES	The caller attempted to add a non-toplevel category update that contained no parent categories
0x8024800e	WU_E_DS_ROWEXISTS	The caller attempted to add a row whose primary key matched an existing row
0x8024800f	WU_E_DS_STOREFILELOCKED	We attempted to initialize the datastore, but it was locked by another process
0x80248010	WU_E_DS_CANNOTREGISTER	The caller is attepting to register the datastore with COM, but the store cannot be loaded into the current process
0x80248011	SUS_E_DS_UNABLETOSTART	Could not create an out of proc datastore object
0x80248012	SUS_E_DS_MISSINGFILEFORURL	a file URL was passed in for a file that does not exist in the datastore
0x80248013	SUS_E_DS_DUPLICATEUPDATEID	the server has passed the same update to the client with two different revision ids
0x80248014	WU_E_DS_UNKNOWNSERVICE	the caller has requested some action on a service that is not known to the datastore
0x80248015	SUS_E_DS_SERVICEEXPIRED	the caller has requested a service whose registration has expired
0x80248016	WU_E_DS_DECLINENOTALLOWED	an update cannot be declined while it is deployed with a deadline by 1 or more services or if it is a mandatory update
0x80248017	WU_E_DS_TABLESESSIONMISMATCH	the caller attempted to close a table with a session it was not associated with
0x80248018	WU_E_DS_SESSIONLOCKMISMATCH	the caller attempted to close a table with a session it was not associated with
0x80248019	WU_E_DS_NEEDWINDOWSSERVICE	the caller attempted to remove the windows update service without having another service configured that delivers updates to windows
0x8024801a	WU_E_DS_INVALIDOPERATION	The attempted operation was not allowed
0x8024801b	WU_E_DS_SCHEMAMISMATCH	The schema of a table in a backup XML file cannot be reconciled with the current store schema
0x8024801c	WU_E_DS_RESETREQUIRED	The datastore required a reset and either the state of the current session was too complex to retry (it is in a caller initiated transaction or a caller acquired a section lock) or the reset failed.  In either case, the only option is to release the session and try again with a newly acquired session.  Once a session returns this error, it will always return this error.
0x8024801d	WU_E_DS_IMPERSONATED	The datastore cannot be called while impersonating
0x80248fff	WU_E_DS_UNEXPECTED	generic unexpected data store failure
0x8024A000	WU_E_AU_NOSERVICE	AU was unable to service incoming AU calls
0x8024A001	SUS_E_AU_LEGACYSERVER
0x8024A002	WU_E_AU_NONLEGACYSERVER	The legacy AU client stopped because the sus server has been upgraded
0x8024A003	WU_E_AU_LEGACYCLIENTDISABLED	The legacy AU client stopped because it was disabled
0x8024A004	WU_E_AU_PAUSED	AU was unable to service incoming AU calls because it was paused
0x8024Afff	WU_E_AU_UNEXPECTED	generic unexpected Automatic Updates
0x8024c001	WU_E_DRV_PRUNED	Driver was pruned.
0x8024c002	WU_E_DRV_NOPROP_OR_LEGACY	A property wasn't found. Depending on the context this may not be an error. For example, it is expected that legacy drivers will be missing properties we require (there is no support for legacy drivers).
0x8024c003	WU_E_DRV_REG_MISMATCH	The registry type we read didn't match what was expected
0x8024c004	WU_E_DRV_NO_METADATA	The driver Update didn't have a metadata blob
0x8024c005	WU_E_DRV_MISSING_ATTRIBUTE	The driver Update metadata was missing a required attribute
0x8024c006	WU_E_DRV_SYNC_FAILED	A driver sync operation failed
0x8024c007	WU_E_DRV_NO_PRINTER_CONTENT	No printer driver content following SyncApplicablePrinters
0x8024cfff	WU_E_DRV_UNEXPECTED	generic unexpected driver utility failure
0x8024d001	WU_E_SETUP_INVALID_INFDATA	Setup failed due to invalid data in the INF file.
0x8024d002	WU_E_SETUP_INVALID_IDENTDATA	Setup failed due to invalid data in the wuident file.
0x8024d003	WU_E_SETUP_ALREADY_INITIALIZED	Setup failed due to multiple initialization.
0x8024d004	WU_E_SETUP_NOT_INITIALIZED	Setup has not been initialized correctly.
0x8024d005	WU_E_SETUP_SOURCE_VERSION_MISMATCH	Setup failed as the version specified in the INF file doesn't match the source binary version.
0x8024d006	WU_E_SETUP_TARGET_VERSION_GREATER	Setup failed as the target version on the system is higher than source binary version.
0x8024dfff	WU_E_SETUP_UNEXPECTED	Generic unexpected Setup failure.
0x8024e001	WU_E_EE_UNKNOWN_EXPRESSION	an expression handler was passed an expression that it doesn't know about
0x8024e002	WU_E_EE_INVALID_EXPRESSION	an expression handler was passed an expression that is bad.
0x8024e003	WU_E_EE_MISSING_METADATA	an expression handler was passed an expression that requires an applicability metadata blob, but did not receive one or received too many.
0x8024e004	WU_E_EE_INVALID_VERSION	Invalid version of the serialized expression data.
0x8024e005	WU_E_EE_NOT_INITIALIZED	The Expression Evaluator has not been initialized correctly.
0x8024e006	WU_E_EE_INVALID_ATTRIBUTEDATA	An invalid attribute data was passed to an expression evaluator.
0x8024efff	WU_E_EE_UNEXPECTED	generic unexpected expression evaluator failures
0x8024f001	WU_E_REPORTER_EVENTCACHECORRUPT	event cache file was corrupt/malformed
0x8024f002	WU_E_REPORTER_EVENTNAMESPACEPARSEFAILED	event namespace descriptor XML could not be parsed
0x8024f003	WU_E_INVALID_EVENT	event was reported with invalid/malformed data
0x8024f004	WU_E_SERVER_BUSY	event was rejected by server because server was too busy
0x8024ffff	WU_E_REPORTER_UNEXPECTED	generic unexpected reporter failures
0x87FF0001	Error_Label_Unreadable
0x87FF0004	Error_Too_Many_Open_Files	The system can not open the file
0x8DDD0001	ErrorNoScripting
0x8DDD0002	ErrorNotAdmin
0x8DDD0003	ErrorDisabled	Site timeout waiting for the control.
0x8DDD0004	ErrorControlFailed
0x8DDD0006	ErrorWin2KLessThanSP3
0x8DDD0007	ErrorRebootRequired
0x8DDD000F	ErrorIis404
0x8DDD0010	ErrorIis500
0x8DDD0012	ErrorNoFrames
0x8DDD0018	ErrorAUDisabled	AU could be disabled, not started etc. BITS could be disabled or not started etc.
0xC0000005	STATUS_ACCESS_VIOLATION
0xC0000006	STATUS_IN_PAGE_ERROR
0xc000001d	STATUS_ILLEGAL_INSTRUCTION
0xc000001e	STATUS_INVALID_LOCK_SEQUENCE
0xc0000090	STATUS_FLOAT_INVALID OPERATION
0xc0000096	STATUS_PRIVILEGED_INSTRUCTION
0xc00000fd	STATUS_STACK_OVERFLOW
0xc000013a	STATUS_CONTROL_C_EXIT
0xC0000142	STATUS_DLL_INIT_FAILED
0xC0000194	Status_Not_Found	object not found
0xC0000354	Status_Debugger_Inactive	An attempt to do an operation on a debug port failed because the port is in the process of being deleted.
0xC8000152	MCIERR_Seq_Port_Nonexistent
0xC80001FE	hrLogWriteFail	unable to write to the log file
0xC8000211	hrLogDiskFull
0xC8000240	SE_Auditid_Assign_Special_Priv
0xC80003F3	hrOutOfMemory	The computer is out of memory
0xC80003F6	hrOutOfBuffers	out of database page buffers
0xC80003FA	hrReadVerifyFailure
0xC80003FB	Error_No_Log_Space	System could not allocate the required space in a registry log
0xC80003FE	hrDiskIO
0xC8000442	CS_Event_reg_Operations_Failed
0xC800044E	hrWriteConflict	The write lock failed due to an outstanding write lock
0xC8000710	hrDiskFull
0xD0000005	ERROR_ACCESS_DENIED
0xD0000006	Error_Invalid_Handle
0xD0000008	ERROR_NOT_ENOUGH_MEMORY	not enough storage is available to process this command
0xD0000017	Error_CRC
0xD0000018	Error_Bad_Length	the program issued a command but the command length is incorrect
0xD000001D	Error_Write_Fault	the system cannot write the  specified device
0xD0000022	Error_Wrong_Disk
0xD000012D	HTTP_Status_Moved	Object Permanently moved
0xD0000135	MCIErr_Set_Drive
0xD0000142	MCIERR_Wave_Inputsinuse
0xD0000194	HTTP_Status_Not_Found
0xe0000101	ERROR_SECTION_NOT_FOUND
0xe0000201	ERROR_CLASS_MISMATCH
0xe0000203	ERROR_NO_DRIVER_SELECTED
0xe000020b	ERROR_NO_SUCH_DEVINST
0xe000020d	ERROR_INVALID_CLASS_INSTALLER
0xe0000217	ERROR_BAD_SERVICE_INSTALLSECT
0xe0000219	ERROR_NO_ASSOCIATED_SERVICE
0xe000022b	ERROR_DI_DONT_INSTALL
0xe000022d	ERROR_NON_WINDOWS_NT_DRIVER
0xe000022f	ERROR_NO_CATALOG_FOR_OEM_INF
0xe0000230	ERROR_DEVINSTALL_QUEUE_NONNATIVE
0xe0000234	ERROR_DRIVER_NONNATIVE
0xe000023a	ERROR_PNP REGISTRY_ERROR
0xFFFFF8F0	JET_errDiskFull
0xFFFFFb40	JET_errAttachedDatabaseMismatch
0xFFFFFb4a	JET_errDatabaseCorrupted
0xFFFFFBBE	JET_errInstanceUnavailable
0xFFFFFBF8	JET_errFileAccessDenied
0xFFFFFC02	JET_errDiskIO
0xFFFFFC06	JET_errReadVerifyFailure
0xFFFFFC0D	JET_errOutOfMemory
0xFFFFFdc9	JET_errDbTimeTooNew
0xFFFFFdda	JET_errDatabaseInconsistent
0xFFFFFDfd	JET_errInvalidLogSequence
0xfffffe02	JET_errLogWriteFail
0xfffffe0b	JET_errLogFileCorrupt
0xffffff99	JET_errOutOfThreads
0xFFFFFFFF	Cancel
800A01AD	ActiveX component can''t create object
